city,day,temp_max,temp_min
Cape Town,'2021-6-1',64,48
Cape Town,'2021-6-2',68,52
Cape Town,'2021-6-3',68,50
Cape Town,'2021-6-4',68,43
Cape Town,'2021-6-5',73,43
Cape Town,'2021-6-6',81,46
Cape Town,'2021-6-7',82,64
Cape Town,'2021-6-8',72,57
Cape Town,'2021-6-9',70,52
Cape Town,'2021-6-10',61,46
Cape Town,'2021-6-11',77,46
Cape Town,'2021-6-12',70,50
Cape Town,'2021-6-13',64,52
Cape Town,'2021-6-14',66,45
Cape Town,'2021-6-15',64,48
Cape Town,'2021-6-16',64,54
Cape Town,'2021-6-17',63,54
Cape Town,'2021-6-18',66,46
Cape Town,'2021-6-19',81,45
Cape Town,'2021-6-20',81,59
Cape Town,'2021-6-21',75,59
Cape Town,'2021-6-22',64,57
Cape Town,'2021-6-23',61,50
Cape Town,'2021-6-24',63,45
Cape Town,'2021-6-25',45,45
